,,,W6UL342PU,W6UL342PU,W6UL342PU,W6UL342PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL352PU,W6UL352PU,W6UL352PU,W6UL352PU,W6DXML001SU,W6DXML001SU,W6JML121PU,W6JML121PU,W6JML119SU,W6JML119SU,W6UML357SU,W6UML357SU,W6RML420SU,W6RML420SU,W6UGK243PU,W6UGK243PU,W6UGK243PU,W6UGK243PU
LI1,METLIFE MALL,EC,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
KD1,KINAKO,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
GIL,GILWELL,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
KAN,KANTU (ALICE),EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
MTP,MTHATA PLAZA,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
CT2,CIRCUS TRIANGLE,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BTW,BUTTERWORTH,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MQA,MQANDULI,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
KWT,KINGWILLIAMS TOWN CBD,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MO1,MOTHERWELL,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
LSK,LUSIKI,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
HE1,HEMINGSWAY,EC,1,,,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,,
MD1,MDANTSANE,EC,1,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
MSC,MATATIELE SHOPPING CENTER,EC,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
BTS,BERT STRAUSS CENTER,EC,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
BIZ,BIZANA,EC,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
MTH,MTHATA MALL,EC,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,,,,
VP1,VINCENT PARK,EC,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
BB1,BEACON BAY,EC,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
FG1,FLAGSTAFF,EC,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
CNQ,CENTRAL SQUARE,EC,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
CP1,CLEARY PARK,EC,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
HB1,HIBERNIA STREET,EC,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
OU1,OK UITENHAGE,EC,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
PI1,PIER 14,EC,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
RG1,SHOPRITE GRAAFF REINET,EC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
KY1,SHOPRITE KNYSNA,EC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
UI1,UITENHAGE MALL,EC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
TN1,THE MALL,EC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
KC1,KWANOBUHLE COMBO,EC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
PE1,PENFORD,EC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
LU1,LUKHANJI MALL,EC,,,,,,,,,,,,,1,1,,,,,,,,,,,,
DC1,DAKU CENTRE,EC,,,,,,,,,,,,,1,1,,,,,,,,,,,,
GO1,GOLDFIELDS,FS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
CN2,CENTRAL PARK 2,FS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
BOT,BOITEMELO,FS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
SET,SETSING,FS,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
CN1,CENTRAL PARK,FS,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
DH1,DIHLABENG MALL,FS,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
CX1,CROSS STREET,FS,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
MI1,MIMOSA MALL,FS,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MDP,MANDELA PARK,FS,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
SN1,SANLAM CENTRE,FS,1,,1,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
WQ1,WELKOM SQUARE,FS,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
CU1,COSMOS CENTRE,FS,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
ME1,MIDDESTAD,FS,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
HD1,HEIDEDAL MALL,FS,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
CO1,CHECKERS WELKOM,FS,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
TP1,METROPOLITAN MALL,FS,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
LS1,MALUTI SQUARE,FS,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
ED2,EDENDALE COMBO,KZN,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,2,2,,1,,1
NL1,NONGOMA PLAZA,KZN,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,2,2,,1,,1
VY1,VRYHEID PLAZA,KZN,1,,1,,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,
DUR,DURBAN CBD,KZN,1,,1,,1,,1,,,,,,1,1,1,1,1,1,1,1,2,2,1,,1,
MAV,MAVUNDLA,KZN,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
MU1,MURCHISON MALL,KZN,1,,1,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,
WT1,WEST STREET,KZN,1,,1,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,
HG1,HAMMERSDALE,KZN,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
PM1,PIETERMARITZBURG,KZN,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
PY1,PORT SHEPSTONE,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,2,2,1,,1,
OKE,OK EMPANGENI,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,2,2,1,,1,
PC1,PINECREST,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
BL1,BLOEMNEL CENTRE,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
PO1,PONGOLA,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
HRD,HARDING CORNER,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
DU1,DUNDEE,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
STE,STERKSPRUIT,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
RI1,RICHMOND,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
PMR,PMB RHINO,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
UZ1,UMZIMKHULU,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
NQ1,NQUTU,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MTM,MTUBA MALL,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
MGZ,MANGUZI,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
TI1,THEKU PLAZA,KZN,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
UM1,UMLAZI MEGA CITY,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
MBZ,MBAZWANA,KZN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
EK1,ESIKHALENI PLAZA SHOES,KZN,1,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
TX1,TAXI CITY,KZN,1,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
JZ1,JOZINI,KZN,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
KM1,KWAMASHU,KZN,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
KWA,KWAMNYANDU,KZN,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
ESW,ESHOWE,KZN,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
MM1,MUTUAL MALL,KZN,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,,,,
BI1,BIYELA CENTRE,KZN,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,,,,
KO1,KOKSTAD,KZN,,,,,1,,,,1,,,,,,,,1,1,1,1,1,1,,,,
CI1,CITY VIEW,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
MKT,MAKHATHINI,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
ED1,EDENDALE SHOES,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
HC1,HIBISCUS MALL,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
IM1,MANDENI,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
SMT,SMITH STREET,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
KZ1,KING SENZANGAKHONA CENTRE,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
MTU,MTUBA PLAZA,KZN,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
MYB,MAYABA,KZN,,,,,,,,,1,,,,1,1,,,1,1,1,1,,,,,,
TGF,TUGELA FERRY,KZN,,,,,,,,,1,,,,1,1,,,1,1,1,1,,,,,,
BO2,BOARDWALK COMBO,KZN,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
MNP,MANDENI PLAZA,KZN,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
EH1,ESIKHALENI PLAZA CLOTHES,KZN,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
EZ1,EZAKHENI,KZN,,,,,,,,,1,,,,1,1,,,1,1,1,,1,1,,,,
OM1,MONTCLAIR,KZN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
KSS,SHOPRITE KOKSTAD,KZN,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
FA1,FAIRWAYS MAIN,KZN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
OV1,THE OVAL,KZN,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
TX2,TAXI CITY COMBO,KZN,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
BV1,BOXER EMPANGENI,KZN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
OA1,OAKCREST,KZN,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
BKS,BROOKSIDE,KZN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
KZ2,KING SENZANGKHONA COMBO,KZN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
AJ1,AMAJUBA,KZN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
BMT,BOXER MATATIELE,KZN,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
TB1,THE BLUFF HILLSIDE,KZN,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
WAT,WATERCREST,KZN,,,,,,,,,,,,,1,1,,,,,,,,,,,,
IU1,ITALA UMLAZI,KZN,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
MSP,MASINGITA PLAZA,LIM,1,1,1,1,2,1,2,1,,,,,1,1,1,1,2,2,3,3,1,1,1,1,1,1
MSM,MASINGITA CROSSING MALAMOLELE,LIM,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,2,1,2,2,1,1,1,1
LT2,LOIUS TRICHARDT 2,LIM,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1
BG1,BLOUBERG,LIM,1,1,1,1,,1,,1,,,,,1,1,1,1,1,1,1,1,2,2,,1,,1
CZ1,CAPRICORN PLAZA,LIM,1,,1,,,1,,,,,,,1,1,1,1,1,1,2,1,2,2,1,,1,
TF1,TUBATSE CROSSING,LIM,1,,1,,1,,1,,,,,,1,1,1,1,1,1,1,1,2,2,1,,1,
MN1,MALL OF THE NORTH,LIM,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
TY2,THOHOYANDOU 2,LIM,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
ZB1,ZEBEDIELA,LIM,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
CNH,CORNER HOUSE COMBO,LIM,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
JF1,JANE FURSE,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,2,2,1,,1,
PAR,PARADISE CENTRE,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
EB1,ELIM MALL,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
JF2,JANE FURSE 2,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
SES,SESHEGO,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
PL1,PALEDI MALL,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
TZ2,TZANENG COMBO,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
GM1,GAME CENTRE,LIM,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
JA1,MAHWELERENG SHOPPING CENTRE,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
LF1,METLIFE PLAZA LEBOWAKGOMO,LIM,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
NZ2,NZHELELE COMBO,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
SG1,SHOPRITE POLOKWANE,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
JM1,MODJADJI PLAZA,LIM,1,,1,,1,,1,,,,,,,,1,1,,,1,,1,1,1,,1,
HU1,HUBYENI,LIM,1,,,,1,,1,,,,,,,,1,1,,,1,,1,1,1,,1,
TY1,THOHOYANDOU (GAME CENTRE),LIM,1,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
AM1,MAAKE PLAZA,LIM,1,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
LT1,LOUIS TRICHARDT SHOPRITE,LIM,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
TD1,THE CROSSING MOKOPANE,LIM,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
SM1,SHOPRITE MOKOPANE,LIM,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
LP1,LEPHALALE MALL,LIM,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
BMK,BOXER MOKOPANE,LIM,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,,,,
LPL,LEPELLE,LIM,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,,,,
TBM,THABA MALL,LIM,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
NZ1,NZHELELE,LIM,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
SA1,SAVANNAH MALL,LIM,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
MRC,MORATIWA CROSSING,LIM,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
PLB,PHALABORWA CHECKERS,LIM,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
PN1,PHANGAMI MALL,LIM,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
ML1,MAKHADO CROSSING,LIM,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
CD1,CHECKERS POLOKWANE,LIM,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
MSN,MUSINA,LIM,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
MDM,MODI MALL,LIM,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
MSG,MASINGITA,LIM,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
BY1,BELA BELA,LIM,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
PTR,PIET RETIEF,MP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
MB2,MALL @ EMBA,MP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
EM1,ERMELO MALL,MP,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
BH1,BLUE HAZE,MP,1,,1,,,1,,,,,,,1,1,1,1,1,1,2,1,2,2,1,,1,
ING,INGWE,MP,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,
SKY,SKYPROPS MALL(ELUKWATINI),MP,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
NM1,MONUMENT CENTRE,MP,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
BU1,BURGERSFORT MALL,MP,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
AH1,ACORNHOEK,MP,1,,1,,1,,1,,,,,,1,1,1,1,,,1,1,1,1,1,,1,
PTC,PIET RETIEF CLOTHING,MP,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
NS1,NEW CASTLE MALL,MP,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
KAB,KABOKWENI,MP,1,,1,,1,,1,,,,,,,,1,1,,,1,1,2,2,1,,1,
NK1,NKOMAZI PLAZA,MP,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
RM2,RIVERSIDE 2,MP,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
UT1,MOUTSE MALL,MP,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
GRC,GROBLERSDAL CBD,MP,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MKH,MKHUHLU,MP,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
BW1,BURGERSFORT TWIN CITY,MP,1,,1,,1,,1,,,,,,,,1,1,,,1,1,1,1,1,,1,
MEG,MEGA MARK,MP,1,,1,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
EG1,GAME ERMELO,MP,1,,,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,,
VLW,VILLAGE WALK,MP,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
SV1,SECUNDA VILLAGE,MP,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
WH1,SHOPRITE WHITE RIVER COMBO,MP,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
NE1,NELSPRUIT PLAZA,MP,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,1,,,
TL1,MATSULU,MP,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,,,,
KA1,KANYAMAZANE CENTRE,MP,,,,,1,,1,,,,,,,,,,1,1,1,1,1,1,,,,
EN1,EDEN SQUARE,MP,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
KAM,KAMAQHEKEZA,MP,,,,,1,,,,,,,,1,1,,,1,1,1,1,1,1,,,,
NB1,NEDBANK BUILDING POLOKWANE,MP,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
KJ1,KOMATIPOORT,MP,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
NC1,NELSPRUIT CBD,MP,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,,,
BH2,BLUE HAZE COMBO,MP,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
MBO,MBOMBELA,MP,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
BAR,BARBERTON,MP,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
EW1,ELUKWATINI,MP,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
BH3,BLUE HAZE SHOES 3,MP,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
DY1,DEYIZENZA PLAZA,MP,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
EMO,EMOYENI,MP,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
GB1,GAME GROBLERSDAL,MP,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
DS1,DIKAI SHOPPING CENTRE,MP,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
CNW,CANARY WALK MALL,MP,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
KU1,KURUMAN,NC,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
VS1,SANLAM CENTRE VRYBERG,NC,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
NP1,NEW PARK,NC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
TA1,TAUNG FORUM,NC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
DP1,DIAMOND PAVILION,NC,1,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
VI1,VILLAGE MALL,NC,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
KF1,KALAHARI,NC,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
OL1,OLD MUTUAL KIMBERLY,NC,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
VD1,VREDENBURG,NC,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
POS,POSTMASBURG,NC,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
SK1,SHOPRITE KIMBERLEY,NC,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
KI1,KIM PARK,NC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
KAR,KAROO JUNCTION,NC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
KS1,KATHU SHOPPING CENTRE,NC,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
RP1,RUSTENBURG PLAZA,NW,1,,1,,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,
RP2,RUSTENBURG PLAZA 2 ,NW,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
LC1,LICHTENBURG,NW,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MOR,MORULENG,NW,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
TC1,THE CROSSING,NW,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
NT1,NORTHAM,NW,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
MQ1,MAFIKENG,NW,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
LD1,LETHABILE MALL,NW,,,,,,,,,1,,,,1,1,,,1,1,1,1,,,,,,
OKY,ORKNEY,NW,,,,,,,,,1,,,,1,1,,,1,1,1,1,,,,,,
MT1,MEGA CITY,NW,,,,,,,,,1,,,,1,1,,,1,1,1,,1,1,,,,
ZR1,ZEERUST,NW,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
SX1,SHOPRITE CHECKERS LYDENBERG,NW,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
AG1,AG DADA,NW,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
RU1,SHOPRITE RUSTENBURG,NW,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
MOS,MOSSELBAAI,WC,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
NY2,NYANGA SHOES ,CPT,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
